movie,city,theater_count,estimated_city_gross
Get Rich or Die Tryin',Miami,50,"$12,499.03"
Shaft,Miami,50,"$8,617.36"
Blue Ruin,Miami,50,$104.13
Starsky & Hutch,Miami,50,"$35,597.81"
Infernal Affairs,Miami,50,$68.45
Taking Lives,Miami,50,"$13,185.06"
Can You Ever Forgive Me?,Miami,50,"$3,551.75"
Osmosis Jones,Miami,50,"$5,485.41"
Taxi,Miami,50,"$14,770.02"
Beirut,Miami,50,"$2,024.91"
Catwoman,Miami,50,"$16,218.87"
Andhadhun,Miami,50,$554.29
Hustle & Flow,Miami,50,"$8,956.82"
Derailed,Miami,50,"$14,533.21"
Beast,Miami,50,$322.89
Thoroughbreds,Miami,50,"$1,142.02"
After the Sunset,Miami,50,"$11,429.69"
CBGB,Miami,50,$16.15
New York Minute,Miami,50,"$5,655.44"
Veronica Mars,Miami,50,"$1,339.03"
Sympathy for Mr. Vengeance,Miami,50,$18.27
The Three Burials of Melquiades Estrada,Miami,50,"$2,026.54"
The Happytime Murders,Miami,50,"$8,353.62"
Stuber,Miami,50,"$9,024.92"
True Story,Miami,50,"$1,904.07"
Hostage,Miami,50,"$13,974.81"
London Fields,Miami,50,$101.94
Tangerine,Miami,50,$283.14
Four Lions,Miami,50,$122.70
Spun,Miami,50,$165.50
The Sentinel,Miami,50,"$14,636.74"
A Nightmare on Elm Street,Miami,50,"$25,446.39"
Peter Rabbit,Miami,50,"$46,496.76"
Safe,Miami,50,"$6,915.64"
Fun with Dick and Jane,Miami,50,"$44,511.60"
Max Payne,Miami,50,"$16,415.35"
Redemption,Miami,50,$14.10
Death Wish,Miami,50,"$13,723.51"
Mindhunters,Miami,50,"$1,807.67"
Mr. Brooks,Miami,50,"$11,488.18"
The Watcher,Miami,50,"$11,670.33"
State of Play,Miami,50,"$14,934.18"
The Art of Self-Defense,Miami,50,$972.64
Ride Along,Miami,50,"$54,438.20"
Heist,Miami,50,$19.06
The Producers,Miami,50,"$7,817.57"
Baise-moi,Miami,50,$2.34
Machine Gun Preacher,Miami,50,$217.32
The Spirit,Miami,50,"$7,980.62"
The Man from Nowhere,Miami,50,$2.61
One for the Money,Miami,50,"$10,656.43"
The House,Miami,50,"$10,321.57"
'71,Miami,50,$511.86
Extract,Miami,50,"$4,362.77"
Romeo Must Die,Miami,50,"$22,581.36"
Saw III,Miami,50,"$32,370.76"
Gigli,Miami,50,"$2,448.31"
Mortdecai,Miami,50,"$3,068.36"
Trance,Miami,50,$935.63
Ichi the Killer,Miami,50,$8.18
The International,Miami,50,"$10,267.52"
Bad Santa,Miami,50,"$24,230.17"
Saw 3D,Miami,50,"$18,440.88"
Perfect Stranger,Miami,50,"$9,676.26"
Destroyer,Miami,50,$618.59
The Paperboy,Miami,50,$279.43
Paul Blart: Mall Cop,Miami,50,"$8,399.07"
The Perfect Score,Miami,50,"$4,190.72"
The Book of Henry,Miami,50,"$1,702.29"
Kidnap,Miami,50,"$12,392.62"
Righteous Kill,Miami,50,"$16,170.07"
Saving Silverman,Miami,50,"$7,807.02"
Trust,Miami,50,$48.42
Hunger,Miami,50,$62.16
Analyze That,Miami,50,"$12,959.10"
Murder by Numbers,Miami,50,"$12,887.89"
I Love You Phillip Morris,Miami,50,$821.21
Punisher: War Zone,Miami,50,"$3,206.53"
Where the Truth Lies,Miami,50,$351.60
Under Suspicion,Miami,50,$104.36
Cellular,Miami,50,"$12,911.24"
Bernie,Miami,50,"$3,712.85"
Ong-Bak: The Thai Warrior,Miami,50,"$1,839.67"
Assault on Precinct 13,Miami,50,"$8,058.96"
Femme Fatale,Miami,50,"$2,659.46"
Dead Man's Shoes,Miami,50,$2.43
Bad Samaritan,Miami,50,"$1,385.80"
Out of Time,Miami,50,"$16,502.44"
Horns,Miami,50,$66.36
The Gunman,Miami,50,"$4,292.76"
Premium Rush,Miami,50,"$8,179.74"
Sin Nombre,Miami,50,"$1,022.43"
The Condemned,Miami,50,$1.50
Malibu's Most Wanted,Miami,50,"$13,841.26"
"The Gangster, the Cop, the Devil",Miami,50,$87.34
Detroit,Miami,50,"$6,773.66"
Eye See You,Miami,50,$31.94
Child 44,Miami,50,$486.59
The Glass House,Miami,50,"$7,262.25"
Duplicity,Miami,50,"$16,368.32"
Appaloosa,Miami,50,"$8,152.12"
Cosmopolis,Miami,50,$300.01
The Quiet,Miami,50,$153.78
Fanboys,Miami,50,$277.77
Paid in Full,Miami,50,"$1,227.31"
Gotti,Miami,50,"$1,752.19"
Keanu,Miami,50,"$8,297.09"
Headhunters,Miami,50,$482.81
Death Sentence,Miami,50,"$3,846.41"
Elite Squad,Miami,50,$3.25
Domino,Miami,50,"$4,102.57"
